,OFFICER_USED_FORCE
379,True
380,False
381,False
382,True
383,True
384,True
385,True
386,True
387,False
388,False
389,False
390,True
391,False
392,False
393,False
394,False
395,False
396,False
397,True
398,False
399,False
400,False
401,False
402,True
403,False
404,True
405,False
406,False
407,False
408,False
409,False
410,False
411,False
412,False
413,False
414,False
415,True
416,False
417,True
418,False
419,False
420,False
421,True
422,False
423,False
424,True
425,False
426,False
427,False
428,True
429,False
430,False
431,True
432,False
433,False
434,False
435,False
436,False
437,True
438,True
439,True
440,False
441,True
442,False
443,True
444,False
445,True
446,False
447,True
448,False
449,False
450,False
451,False
452,False
453,False
454,False
455,False
456,False
457,True
458,True
459,True
460,True
461,True
462,False
463,False
464,True
465,True
466,True
467,True
468,True
469,False
470,False
471,False
472,True
473,False
474,False
475,False
476,True
477,False
478,False
479,True
480,False
481,False
482,False
483,False
484,False
485,False
486,False
487,True
488,False
489,False
490,False
491,False
492,False
493,True
494,True
495,True
496,False
497,False
498,False
499,False
500,False
501,True
502,True
503,False
504,False
505,False
506,True
507,False
508,False
509,False
510,False
511,False
512,False
513,False
514,False
515,False
516,False
517,True
518,False
519,True
520,False
521,True
522,True
523,False
524,False
525,True
526,True
527,False
528,True
529,True
530,False
531,False
532,False
533,True
534,False
535,False
536,False
537,True
538,False
539,False
540,False
541,False
542,True
543,False
544,True
545,False
546,True
547,False
548,False
549,False
550,False
551,True
552,True
553,True
554,True
555,False
556,False
557,False
558,False
559,True
560,True
561,False
562,False
563,False
564,False
565,False
566,False
567,False
568,False
569,False
570,False
571,False
572,False
573,False
574,False
575,False
576,False
577,False
578,False
579,False
580,False
581,False
582,False
583,True
584,True
585,True
586,True
587,False
588,False
589,False
590,True
591,False
592,False
593,False
594,True
595,False
596,False
597,False
598,True
599,False
600,False
601,False
602,False
603,False
604,False
605,False
606,False
607,False
608,False
609,False
610,False
611,False
612,False
613,False
614,True
615,False
616,False
617,False
618,False
619,False
620,False
621,False
622,False
623,False
624,False
625,False
626,True
627,False
628,False
629,False
630,False
631,True
632,False
633,False
634,False
635,False
636,True
637,False
638,False
639,False
640,False
641,False
642,False
643,True
644,False
645,False
646,True
647,False
648,True
649,False
650,False
651,False
652,False
653,False
654,False
655,False
656,False
657,False
658,False
659,False
660,False
661,True
662,True
663,False
664,True
665,False
666,False
667,False
668,True
669,False
670,False
671,False
672,True
673,False
674,False
675,False
676,False
677,False
678,False
679,False
680,True
681,False
682,False
683,True
684,False
685,False
686,True
687,False
688,False
689,True
690,True
691,True
692,False
693,True
694,False
695,True
696,False
697,True
698,False
699,False
700,False
701,False
702,True
703,True
704,False
705,False
706,False
707,True
708,False
709,False
710,False
711,False
712,False
713,False
714,False
715,True
716,True
717,True
718,True
719,True
720,False
721,False
722,False
723,False
724,False
725,False
726,False
727,False
728,False
729,False
730,False
731,True
732,False
733,False
734,False
735,False
736,False
737,False
738,True
739,True
740,False
741,True
742,True
743,False
744,False
745,False
746,False
747,False
748,False
749,True
750,False
751,False
752,False
753,True
754,True
755,False
756,False
757,False
758,True
759,True
760,True
761,True
762,True
763,True
764,False
765,False
766,False
767,False
768,False
769,True
770,False
771,False
772,False
773,False
774,True
775,False
776,True
777,False
778,False
779,False
780,False
781,False
782,False
783,False
784,False
785,False
786,False
787,False
788,False
789,False
790,False
791,False
792,False
793,False
794,False
795,False
796,False
797,False
798,True
799,False
800,False
801,True
802,False
803,False
804,False
805,False
806,True
807,False
808,False
809,False
810,False
811,True
812,True
813,False
814,True
815,True
816,False
817,False
818,False
819,True
820,True
821,False
822,False
823,False
824,True
825,False
826,False
827,False
828,False
829,False
830,False
831,True
832,False
833,False
834,False
835,False
836,True
837,True
838,False
839,False
840,True
841,False
842,False
843,False
844,False
845,False
846,False
847,False
848,False
849,False
850,False
851,False
852,False
853,True
854,False
855,False
856,False
857,True
858,False
859,True
860,True
861,False
862,True
863,False
864,False
865,False
866,True
867,False
868,False
869,False
870,False
871,False
872,True
873,False
874,False
875,True
876,False
877,True
878,False
879,False
880,False
881,False
882,False
883,False
884,False
885,False
886,False
887,False
888,True
889,False
890,False
891,False
892,False
893,False
894,False
895,False
896,False
897,False
898,False
899,False
900,True
901,False
902,False
903,False
904,False
905,False
906,False
907,False
908,False
909,False
910,False
911,False
912,False
913,True
914,True
915,True
916,False
917,False
918,False
919,True
920,True
921,False
922,False
923,False
924,False
925,True
926,False
927,True
928,True
929,False
930,True
931,False
932,False
933,False
934,False
935,False
936,False
937,True
938,False
939,True
940,False
941,False
942,False
943,False
944,False
945,True
946,True
947,True
948,False
949,False
950,True
951,False
952,True
953,False
954,False
955,False
956,False
957,True
958,False
959,True
960,True
961,False
962,True
963,True
964,False
965,True
966,False
967,True
968,True
969,False
970,False
971,False
972,False
973,False
974,True
975,True
976,False
977,False
978,True
979,True
980,False
981,False
982,False
983,False
984,False
985,True
986,False
987,True
988,False
989,True
990,True
991,True
992,True
993,False
994,True
995,False
996,False
997,False
998,False
999,False
1000,False
1001,False
1002,False
1003,False
1004,False
1005,False
1006,False
1007,False
1008,False
1009,False
1010,False
1011,False
1012,False
1013,True
1014,False
1015,False
1016,True
1017,True
1018,False
1019,True
1020,False
1021,False
1022,False
1023,False
1024,False
1025,False
1026,False
1027,False
1028,False
1029,True
1030,True
1031,True
1032,False
1033,False
1034,False
1035,False
1036,False
1037,False
1038,False
1039,False
1040,True
1041,False
1042,False
1043,False
1044,False
1045,False
1046,False
1047,False
1048,True
1049,False
1050,False
1051,False
1052,False
1053,False
1054,False
1055,False
1056,False
1057,False
1058,False
1059,False
1060,False
1061,False
1062,False
1063,False
1064,False
1065,False
1066,False
1067,False
1068,False
1069,False
1070,True
1071,False
1072,False
1073,False
1074,False
1075,False
1076,False
1077,False
1078,False
1079,True
1080,False
1081,True
1082,False
1083,False
1084,False
1085,False
1086,True
1087,False
1088,True
1089,False
1090,False
1091,False
1092,False
1093,False
1094,False
1095,False
1096,False
1097,False
1098,False
1099,False
1100,False
1101,True
1102,False
1103,False
1104,False
1105,False
1106,True
1107,False
1108,False
1109,False
1110,False
1111,True
1112,False
1113,False
1114,False
1115,False
1116,False
1117,True
1118,False
1119,True
1120,False
1121,False
1122,True
1123,False
1124,True
1125,False
1126,False
1127,False
1128,False
1129,False
1130,False
1131,False
1132,False
1133,False
1134,True
1135,False
1136,False
1137,False
1138,True
1139,False
1140,False
1141,False
1142,True
1143,False
1144,True
1145,False
1146,False
1147,False
1148,True
1149,False
1150,False
1151,True
1152,True
1153,True
1154,True
1155,False
1156,False
1157,False
1158,False
1159,False
1160,False
1161,False
1162,False
1163,False
1164,False
1165,False
1166,False
1167,False
1168,True
1169,True
1170,True
1171,True
1172,False
1173,True
1174,True
1175,True
1176,False
1177,False
1178,True
1179,False
1180,True
1181,False
1182,False
1183,False
1184,False
1185,False
1186,True
1187,True
1188,False
1189,False
1190,True
1191,False
1192,True
1193,False
1194,False
1195,False
1196,False
1197,False
1198,False
1199,False
1200,False
1201,False
1202,True
1203,True
1204,False
1205,False
1206,True
1207,False
1208,False
1209,False
1210,False
1211,False
1212,True
1213,False
1214,False
1215,False
1216,True
1217,False
1218,False
1219,False
1220,True
1221,True
1222,True
1223,True
1224,False
1225,False
1226,True
1227,False
1228,True
1229,False
1230,False
1231,False
1232,True
1233,False
1234,False
1235,True
1236,False
1237,False
1238,False
1239,False
1240,True
1241,False
1242,False
1243,False
1244,False
1245,True
1246,False
1247,False
1248,True
1249,True
1250,False
1251,False
1252,True
1253,False
1254,False
1255,False
1256,False
1257,False
1258,False
1259,False
1260,False
1261,False
1262,False
1263,False
1264,True
1265,True
1266,True
1267,True
1268,True
1269,False
1270,False
1271,False
1272,False
1273,True
1274,False
1275,False
1276,False
1277,False
1278,False
1279,False
1280,False
1281,False
1282,False
1283,False
1284,False
1285,True
1286,False
1287,False
1288,False
1289,False
1290,False
1291,False
1292,False
1293,False
1294,False
1295,False
1296,True
1297,False
1298,False
1299,False
1300,True
1301,False
1302,False
1303,False
1304,False
1305,False
1306,False
1307,False
1308,False
1309,False
1310,False
1311,False
1312,False
1313,True
1314,True
1315,False
1316,False
1317,True
1318,True
1319,True
1320,True
1321,True
1322,True
1323,False
1324,False
1325,True
1326,False
1327,True
1328,False
1329,False
1330,True
1331,False
1332,False
1333,False
1334,False
1335,False
1336,False
1337,False
1338,True
1339,True
1340,False
1341,False
1342,True
1343,False
1344,True
1345,True
1346,False
1347,True
1348,True
1349,False
1350,True
1351,False
1352,True
1353,False
1354,False
1355,False
1356,True
1357,False
1358,False
1359,True
1360,False
1361,False
1362,False
1363,False
1364,False
1365,False
1366,False
1367,True
1368,False
1369,False
1370,False
1371,False
1372,False
1373,False
1374,False
1375,False
1376,False
1377,True
1378,False
1379,False
1380,True
1381,False
1382,False
1383,False
1384,True
1385,True
1386,False
1387,False
1388,False
1389,True
1390,False
1391,True
1392,False
1393,False
1394,False
1395,False
1396,True
1397,False
1398,False
1399,False
1400,False
1401,True
1402,False
1403,False
1404,False
1405,False
1406,True
1407,False
1408,False
1409,True
1410,False
1411,False
1412,False
1413,False
1414,False
1415,False
1416,True
1417,True
1418,False
1419,False
1420,False
1421,True
1422,False
1423,True
1424,True
1425,True
1426,False
1427,False
1428,False
1429,False
1430,False
1431,False
1432,True
1433,False
1434,False
1435,False
1436,False
1437,False
1438,False
1439,True
1440,True
1441,False
1442,False
1443,False
1444,False
1445,False
1446,False
1447,False
1448,False
1449,False
1450,False
1451,False
1452,False
1453,False
1454,False
1455,False
1456,True
1457,False
1458,False
1459,False
1460,False
1461,True
1462,True
1463,False
1464,True
1465,False
1466,False
1467,False
1468,False
1469,False
1470,False
1471,False
1472,False
1473,False
1474,False
1475,False
1476,True
1477,True
1478,True
1479,False
1480,False
1481,False
1482,False
1483,True
1484,False
1485,True
1486,False
1487,False
1488,True
1489,False
1490,False
1491,False
1492,False
1493,False
1494,False
1495,False
1496,False
1497,False
1498,True
1499,True
1500,True
1501,True
1502,False
1503,True
1504,True
1505,False
1506,True
1507,False
1508,False
1509,False
1510,False
1511,False
1512,False
1513,False
1514,False
1515,False
1516,False
1517,False
1518,False
1519,False
1520,False
1521,False
1522,True
1523,False
1524,False
1525,False
1526,False
1527,False
1528,False
1529,False
1530,False
1531,False
1532,True
1533,True
1534,False
1535,False
1536,False
1537,False
1538,False
1539,False
1540,False
1541,False
1542,False
1543,False
1544,True
1545,False
1546,True
1547,True
1548,True
1549,False
1550,False
1551,False
1552,True
1553,True
1554,True
1555,True
1556,False
1557,False
1558,False
1559,False
1560,False
1561,False
1562,False
1563,False
1564,False
1565,False
1566,False
1567,False
1568,False
1569,False
1570,False
1571,True
1572,False
1573,False
1574,False
1575,False
1576,True
1577,True
1578,True
1579,False
1580,False
1581,False
1582,True
1583,False
1584,False
1585,False
1586,False
1587,False
1588,False
1589,True
1590,True
1591,True
1592,True
1593,False
1594,False
1595,False
1596,False
1597,False
1598,False
1599,False
1600,True
1601,False
1602,True
1603,False
1604,False
1605,False
1606,True
1607,True
1608,False
1609,False
1610,False
1611,False
1612,True
1613,True
1614,True
1615,False
1616,False
1617,True
1618,False
1619,False
1620,False
1621,False
1622,False
1623,False
1624,False
1625,True
1626,False
1627,False
1628,False
1629,False
1630,False
1631,False
1632,False
1633,False
1634,False
1635,False
1636,False
1637,False
1638,False
1639,False
1640,False
1641,False
1642,False
1643,False
1644,False
1645,True
1646,False
1647,False
1648,False
1649,False
1650,False
1651,False
1652,False
1653,False
1654,False
1655,False
1656,False
1657,False
1658,True
1659,False
1660,False
1661,True
1662,False
1663,False
1664,False
1665,True
1666,True
1667,True
1668,False
1669,False
1670,False
1671,False
1672,False
1673,False
1674,False
1675,False
1676,False
1677,False
1678,False
1679,False
1680,False
1681,False
1682,False
1683,False
1684,True
1685,False
1686,False
1687,True
1688,False
1689,False
1690,False
1691,False
1692,False
1693,True
1694,False
1695,False
1696,True
1697,False
1698,False
1699,False
1700,False
1701,True
1702,False
1703,True
1704,False
1705,False
1706,False
1707,False
1708,False
1709,False
1710,False
1711,True
1712,False
1713,False
1714,False
1715,True
1716,True
1717,False
1718,False
1719,True
1720,False
1721,False
1722,False
1723,False
1724,True
1725,True
1726,False
1727,True
1728,False
1729,True
1730,False
1731,False
1732,False
1733,False
1734,False
1735,False
1736,False
1737,False
1738,False
1739,True
1740,False
1741,False
1742,False
1743,False
1744,False
1745,False
1746,False
1747,False
1748,False
1749,True
1750,False
1751,False
1752,False
1753,False
1754,True
1755,True
1756,False
1757,False
1758,False
1759,True
1760,False
1761,True
1762,True
1763,False
1764,False
1765,False
1766,False
1767,True
1768,False
1769,False
1770,True
1771,False
1772,False
1773,False
1774,False
1775,False
1776,True
1777,True
1778,True
1779,True
1780,False
1781,True
1782,False
1783,False
1784,True
1785,True
1786,False
1787,True
1788,False
1789,False
1790,True
1791,True
1792,False
1793,False
1794,False
1795,False
1796,True
1797,False
1798,False
1799,True
1800,False
1801,False
1802,False
1803,False
1804,True
1805,True
1806,True
1807,False
1808,False
1809,False
1810,False
1811,False
1812,True
1813,False
1814,True
1815,False
1816,False
1817,False
1818,False
1819,False
1820,False
1821,False
1822,True
1823,False
1824,False
1825,False
1826,True
1827,True
1828,True
1829,True
1830,False
1831,False
1832,False
1833,True
1834,False
1835,False
1836,True
1837,True
1838,False
1839,False
1840,False
1841,False
1842,False
1843,False
1844,True
1845,True
1846,True
1847,False
1848,True
1849,False
1850,True
1851,True
1852,True
1853,False
1854,False
1855,False
1856,True
1857,True
1858,False
1859,False
1860,True
1861,True
1862,False
1863,True
1864,True
1865,False
1866,False
1867,True
1868,True
1869,True
1870,False
1871,False
1872,False
1873,False
1874,True
1875,False
1876,False
1877,True
1878,True
1879,True
1880,False
1881,False
1882,True
1883,True
1884,True
1885,False
1886,False
1887,True
1888,False
1889,False
1890,False
1891,False
1892,False
1893,False
1894,False
1895,True
1896,False
1897,False
1898,False
1899,True
1900,True
1901,False
1902,False
1903,False
1904,False
1905,False
1906,True
1907,False
1908,True
1909,True
1910,False
1911,False
1912,True
1913,False
1914,True
1915,False
1916,True
1917,False
1918,False
1919,False
1920,False
1921,False
1922,False
1923,True
1924,True
1925,False
1926,False
1927,False
1928,False
1929,True
1930,False
1931,False
1932,True
1933,True
1934,False
1935,False
1936,False
1937,True
1938,False
1939,True
1940,True
1941,False
1942,False
1943,False
1944,True
1945,False
1946,False
1947,False
1948,True
1949,True
1950,True
1951,False
1952,False
1953,False
1954,False
1955,False
1956,False
1957,False
1958,False
1959,True
1960,True
1961,False
1962,True
1963,False
1964,True
1965,False
1966,True
1967,False
1968,False
1969,False
1970,False
1971,False
1972,False
1973,False
1974,False
1975,False
1976,False
1977,True
1978,True
1979,False
1980,False
1981,False
1982,False
1983,False
1984,False
1985,False
1986,False
1987,True
1988,True
1989,True
1990,True
1991,True
1992,True
1993,False
1994,False
1995,False
1996,False
1997,False
1998,False
1999,True
2000,False
2001,True
2002,True
2003,True
2004,True
2005,False
2006,False
2007,False
2008,False
2009,False
2010,True
2011,False
2012,False
2013,True
2014,False
2015,False
2016,False
2017,True
2018,True
2019,False
2020,True
2021,False
2022,False
2023,False
2024,False
2025,False
2026,False
2027,True
2028,False
2029,False
2030,False
2031,False
2032,False
2033,False
2034,True
2035,False
2036,True
2037,True
2038,False
2039,True
2040,True
2041,False
2042,False
2043,False
2044,False
2045,True
2046,True
2047,False
2048,False
2049,False
2050,False
2051,False
2052,True
2053,True
2054,False
2055,True
2056,True
2057,True
2058,False
2059,False
2060,False
2061,False
2062,False
2063,False
2064,False
2065,False
2066,False
2067,False
2068,False
2069,True
2070,True
2071,True
2072,False
2073,False
2074,False
2075,False
2076,False
2077,False
2078,False
2079,True
2080,True
2081,False
2082,False
2083,True
2084,False
2085,False
2086,True
2087,False
2088,False
2089,False
2090,False
2091,False
2092,False
2093,False
2094,False
2095,True
2096,False
2097,False
2098,True
2099,False
2100,False
2101,True
2102,False
2103,True
2104,False
2105,False
2106,False
2107,False
2108,False
2109,False
2110,False
2111,False
2112,True
2113,False
2114,True
2115,True
2116,False
2117,True
2118,False
2119,False
2120,True
2121,False
2122,False
2123,False
2124,False
2125,False
2126,True
2127,False
2128,False
2129,True
2130,False
2131,True
2132,False
2133,True
2134,True
2135,True
2136,True
2137,False
2138,False
2139,True
2140,False
2141,False
2142,True
2143,False
2144,False
2145,False
2146,True
2147,False
2148,True
2149,True
2150,True
2151,True
2152,True
2153,True
2154,False
2155,True
2156,True
2157,True
2158,False
2159,False
2160,False
2161,False
2162,False
2163,False
2164,False
2165,False
2166,False
2167,False
2168,False
2169,True
2170,True
2171,False
2172,False
2173,False
2174,False
2175,False
2176,False
2177,False
2178,False
2179,True
2180,True
2181,False
2182,False
2183,False
2184,False
2185,False
2186,False
2187,False
2188,False
2189,False
2190,True
2191,False
2192,False
2193,False
2194,False
2195,False
2196,True
2197,True
2198,True
2199,True
2200,True
2201,True
2202,True
2203,False
2204,False
2205,False
2206,False
2207,False
2208,False
2209,True
2210,False
2211,False
2212,False
2213,False
2214,False
2215,False
2216,True
2217,False
2218,False
2219,False
2220,False
2221,True
2222,False
2223,False
2224,False
2225,False
2226,True
2227,False
2228,False
2229,False
2230,False
2231,False
2232,True
2233,False
2234,False
2235,True
2236,True
2237,True
2238,False
2239,False
2240,False
2241,True
2242,False
2243,True
2244,False
2245,True
2246,False
2247,False
2248,False
2249,False
2250,False
2251,False
2252,False
2253,False
2254,True
2255,False
2256,True
2257,False
2258,False
2259,False
2260,True
2261,True
2262,False
2263,False
2264,True
2265,False
2266,False
2267,False
2268,False
2269,True
2270,True
2271,False
2272,False
2273,False
2274,False
2275,False
2276,True
2277,True
2278,False
2279,False
2280,False
2281,False
2282,False
2283,False
2284,False
2285,False
2286,False
2287,False
2288,False
2289,False
2290,False
2291,False
2292,True
2293,False
2294,False
2295,True
2296,True
2297,True
2298,False
2299,False
2300,True
2301,False
2302,False
2303,False
2304,False
2305,False
2306,False
2307,False
2308,False
2309,False
2310,False
2311,False
2312,False
2313,False
2314,True
2315,True
2316,False
2317,True
2318,False
2319,False
2320,False
2321,True
2322,False
2323,False
2324,False
2325,False
2326,False
2327,False
2328,False
2329,False
2330,True
2331,False
2332,True
2333,True
2334,True
2335,True
2336,True
2337,False
2338,False
2339,False
2340,False
2341,False
2342,True
2343,True
2344,True
2345,True
2346,False
2347,True
2348,False
2349,False
2350,True
2351,True
2352,True
2353,True
2354,True
2355,False
2356,False
2357,True
2358,False
2359,False
2360,False
2361,False
2362,False
2363,False
2364,False
2365,False
2366,True
2367,False
2368,True
2369,True
2370,True
2371,True
2372,False
2373,False
2374,True
2375,False
2376,False
2377,False
2378,False
2379,False
2380,False
2381,True
2382,False
2383,False
2384,True
2385,True
2386,False
2387,False
2388,True
2389,True
2390,False
2391,False
2392,False
2393,False
2394,False
2395,False
2396,False
2397,False
2398,False
2399,False
2400,False
2401,False
2402,True
2403,True
2404,False
2405,False
2406,True
2407,False
2408,False
2409,True
2410,True
2411,False
2412,False
2413,False
2414,False
2415,False
2416,True
2417,False
2418,True
2419,True
2420,False
2421,False
2422,False
2423,True
2424,True
2425,False
2426,False
2427,True
2428,True
2429,True
2430,False
2431,True
2432,True
2433,True
2434,True
2435,True
2436,False
2437,False
2438,False
2439,True
2440,False
2441,False
2442,False
2443,False
2444,False
2445,False
2446,False
2447,False
2448,False
2449,False
2450,True
2451,False
2452,False
2453,False
2454,False
2455,False
2456,False
2457,False
2458,True
2459,False
2460,False
2461,False
2462,False
2463,False
2464,False
2465,False
2466,False
2467,False
2468,False
2469,False
2470,False
2471,False
2472,False
2473,True
2474,False
2475,False
2476,False
2477,True
2478,False
2479,False
2480,False
2481,False
2482,True
2483,True
2484,False
2485,False
2486,True
2487,False
2488,False
2489,False
2490,False
2491,False
2492,False
2493,True
2494,False
2495,False
2496,False
2497,False
2498,True
2499,True
2500,True
2501,False
2502,False
2503,False
2504,False
2505,False
2506,False
2507,False
2508,False
2509,False
2510,False
2511,False
2512,False
2513,False
2514,True
2515,True
2516,True
2517,False
2518,False
2519,False
2520,True
2521,True
2522,True
2523,False
2524,False
2525,True
2526,False
2527,False
2528,False
2529,False
2530,False
2531,False
2532,False
2533,False
2534,False
2535,False
2536,False
2537,True
2538,False
2539,False
2540,False
2541,False
2542,False
2543,False
2544,False
2545,False
2546,False
2547,False
2548,False
2549,False
2550,True
2551,False
2552,True
2553,True
2554,False
2555,True
2556,True
2557,True
2558,False
2559,False
2560,False
2561,True
2562,True
2563,False
2564,True
2565,False
2566,False
2567,True
2568,False
2569,False
2570,False
2571,False
2572,False
2573,False
2574,False
2575,False
2576,False
2577,False
2578,False
2579,True
2580,False
2581,True
2582,True
2583,True
2584,True
2585,True
2586,True
2587,False
2588,True
2589,True
2590,False
2591,False
2592,True
2593,False
2594,False
2595,True
2596,False
2597,False
2598,False
2599,False
2600,False
2601,False
2602,False
2603,False
2604,True
2605,False
2606,False
2607,True
2608,True
2609,False
2610,False
2611,False
2612,False
2613,False
2614,False
2615,False
2616,False
2617,False
2618,False
2619,False
2620,False
2621,False
2622,False
2623,False
2624,True
2625,False
2626,False
2627,True
2628,False
2629,False
2630,False
2631,False
2632,False
2633,True
2634,False
2635,True
2636,False
2637,False
2638,False
2639,False
2640,False
2641,True
2642,True
2643,False
2644,True
2645,False
2646,False
2647,True
2648,False
2649,False
2650,False
2651,True
2652,False
2653,False
2654,False
2655,True
2656,True
2657,False
2658,False
2659,False
2660,False
2661,False
2662,True
2663,False
2664,False
2665,False
2666,False
2667,True
2668,True
2669,True
2670,True
2671,True
2672,True
2673,False
2674,True
2675,True
2676,False
2677,False
2678,True
2679,False
2680,False
2681,True
2682,True
2683,False
2684,False
2685,True
2686,False
2687,True
2688,False
2689,False
2690,False
2691,True
2692,False
2693,False
2694,True
2695,False
2696,False
2697,True
2698,False
2699,False
2700,False
2701,False
2702,False
2703,False
2704,False
2705,False
2706,False
2707,True
2708,True
2709,False
2710,False
2711,False
2712,False
2713,True
2714,False
2715,False
2716,False
2717,False
2718,False
2719,False
2720,True
2721,False
2722,False
2723,False
2724,False
2725,True
2726,False
2727,True
2728,False
2729,False
2730,True
2731,True
2732,False
2733,True
2734,False
2735,False
2736,True
2737,True
2738,False
2739,False
2740,True
2741,False
2742,False
2743,False
2744,False
2745,False
2746,False
2747,False
2748,True
2749,False
2750,False
2751,False
2752,False
2753,True
2754,False
2755,False
2756,False
2757,False
2758,False
2759,False
2760,False
2761,True
2762,False
2763,False
2764,True
2765,False
2766,False
2767,True
2768,True
2769,False
2770,True
2771,False
2772,False
2773,False
2774,False
2775,True
2776,False
2777,True
2778,False
2779,False
2780,False
2781,False
2782,True
2783,True
2784,False
2785,False
2786,False
2787,False
2788,False
2789,False
2790,False
2791,True
2792,True
2793,True
2794,False
2795,False
2796,False
2797,False
2798,False
2799,False
2800,False
2801,False
2802,False
2803,False
2804,False
2805,False
2806,False
2807,False
2808,False
2809,False
2810,True
2811,True
2812,True
2813,True
2814,False
2815,False
2816,False
2817,False
2818,False
2819,False
2820,True
2821,False
2822,False
2823,True
2824,False
2825,False
2826,False
2827,False
2828,False
2829,True
2830,False
2831,False
2832,False
2833,False
2834,False
2835,False
2836,True
2837,True
2838,False
2839,False
2840,False
2841,False
2842,True
2843,False
2844,False
2845,False
2846,False
2847,False
2848,False
2849,True
2850,False
2851,False
2852,True
2853,True
2854,False
2855,False
2856,False
2857,False
2858,False
2859,False
2860,False
2861,False
2862,True
2863,False
2864,True
2865,True
2866,True
2867,False
2868,False
2869,False
2870,True
2871,False
2872,False
2873,False
2874,True
2875,False
2876,False
2877,False
2878,True
2879,True
2880,False
2881,True
2882,True
2883,False
2884,True
2885,False
2886,False
2887,False
2888,True
2889,False
2890,False
2891,False
2892,False
2893,False
2894,False
2895,False
2896,False
2897,True
2898,False
2899,False
2900,False
2901,False
2902,False
2903,False
2904,False
2905,True
2906,True
2907,True
2908,False
2909,False
2910,False
2911,False
2912,False
2913,False
2914,False
2915,True
2916,False
2917,True
2918,True
2919,False
2920,False
2921,False
2922,False
2923,False
2924,False
2925,False
2926,False
2927,False
2928,False
2929,False
2930,True
2931,False
2932,False
2933,False
2934,False
2935,True
2936,False
2937,True
2938,False
2939,False
2940,False
2941,False
2942,False
2943,True
2944,False
2945,True
2946,True
2947,False
2948,False
2949,False
2950,False
2951,False
2952,False
2953,False
2954,False
2955,False
2956,False
2957,False
2958,False
2959,True
2960,True
2961,True
2962,False
2963,True
2964,False
2965,False
2966,False
2967,True
2968,True
2969,False
2970,False
2971,True
2972,False
2973,False
2974,False
2975,True
2976,False
2977,True
2978,False
2979,True
2980,False
2981,False
2982,False
2983,True
2984,True
2985,False
2986,False
2987,False
2988,False
2989,False
2990,False
2991,True
2992,True
